"Elem_name"	"ion_state"	"Wl"	"Ei"	"Ek"	"Ak"	"gi"	"gk"
"Fe"	"II"	213.055	3.24468891	9.0622072	1.4e+07	12	10
"Fe"	"I"	213.202	0	5.81351269	7600000	9	9
"Fe"	"II"	213.254	3.42449356	9.2365863	6e+06	6	4
"Fe"	"II"	213.258	7.6358402	13.4478119	1.2e+07	12	14
"Fe"	"II"	213.318	7.6951447	13.5054786	4300000	8	10
"Fe"	"II"	213.395	3.19945278	9.0076893	2e+06	10	8
"Fe"	"II"	213.401	3.19945278	9.0075386	3400000	10	10
"Fe"	"II"	213.561	7.6284514	13.432175	1.5e+07	14	16
"Fe"	"II"	213.588	7.6358402	13.4388341	1.1e+07	12	10
"Fe"	"II"	213.605	7.6358402	13.4383911	6200000	12	12
"Fe"	"II"	213.651	3.26732671	9.0686191	1.6e+07	10	8
"Fe"	"II"	213.805	2.54377802	8.3408923	3200000	6	4
"Fe"	"II"	213.807	7.7233696	13.5204286	3200000	14	14
"Fe"	"I"	213.859	0	5.79564049	2800000	9	7
"Fe"	"II"	213.939	7.7691291	13.5626165	3200000	12	12
"Fe"	"II"	214.029	7.7058106	13.4968562	1.7e+07	6	4
"Fe"	"II"	214.065	5.95609042	11.7461558	6e+06	6	4
"Fe"	"II"	214.145	7.7173363	13.5052424	2.8e+07	4	2
"Fe"	"II"	214.179	3.9441623	9.7311656	5e+06	6	4
"Fe"	"II"	214.232	7.4889348	13.2744861	3800000	6	4
"Fe"	"II"	214.243	5.95609042	11.741355	1.5e+07	6	6
"Fe"	"II"	214.277	7.6284514	13.4128045	1.2e+07	14	12
"Fe"	"II"	214.31	7.7066254	13.4900649	7200000	10	8
"Fe"	"II"	214.494	7.7269984	13.5054786	6100000	8	10
"Fe"	"II"	214.498	7.6284514	13.406842	6400000	14	14
"Fe"	"I"	214.519	0.05156912	5.82938837	5700000	7	7
"Fe"	"II"	214.631	7.6951447	13.4699471	6100000	8	6
"Fe"	"II"	214.762	7.6951447	13.4664169	1e+07	8	6
"Fe"	"II"	214.77	3.19945278	8.9705104	2.2e+07	10	8
"Fe"	"II"	214.936	7.7058106	13.4724082	1.4e+07	6	4
"Fe"	"II"	215.028	7.7058106	13.4699471	7200000	6	6
"Fe"	"II"	215.037	6.138076	11.9019644	3e+06	4	6
"Fe"	"II"	215.062	2.54377802	8.307007	3.2e+07	6	6
"Fe"	"II"	215.076	3.24468891	9.0075386	4700000	12	10
"Fe"	"II"	215.151	7.4889348	13.2497908	2200000	6	6
"Fe"	"II"	215.237	2.27642922	8.0349812	2.2e+07	4	2
"Fe"	"I"	215.301	0.08728574	5.84412959	6900000	5	5
"Fe"	"II"	215.344	7.7173363	13.4730259	1.8e+07	4	2
"Fe"	"II"	215.367	7.7173363	13.4724082	2900000	4	4
"Fe"	"II"	215.459	7.7173363	13.4699471	2600000	4	6
"Fe"	"II"	215.476	7.4889348	13.2411006	2900000	6	6
"Fe"	"II"	215.514	7.7058106	13.4569502	3500000	6	8
"Fe"	"II"	215.571	7.9458259	13.6954523	1.4e+07	6	4
"Fe"	"II"	215.587	3.22131344	8.9705104	3900000	8	8
"Fe"	"II"	215.794	7.6951447	13.4388341	2400000	8	10
"Fe"	"II"	215.796	7.9704921	13.7141191	8e+06	8	6
"Fe"	"II"	215.813	7.4725712	13.2157601	1900000	8	6
"Fe"	"II"	215.92	7.5165973	13.2569411	1.4e+07	12	10
"Fe"	"II"	215.998	7.6973256	13.4355903	1200000	10	8
"Fe"	"II"	216.116	3.22131344	8.9564405	2.8e+07	8	6
"Fe"	"I"	216.158	0.11011433	5.84412959	5e+06	3	5
"Fe"	"II"	216.202	1.96448604	7.6973256	2.5e+07	10	10
"Fe"	"II"	216.243	7.7066254	13.4383911	1100000	10	12
"Fe"	"II"	216.348	7.7066254	13.4355903	3e+07	10	8
"Fe"	"II"	216.434	1.67061856	7.3973238	1.1e+07	6	4
"Fe"	"II"	216.446	7.9877322	13.7141191	1.5e+07	6	6
"Fe"	"II"	216.461	3.23045937	8.9564405	4300000	6	6
"Fe"	"II"	216.639	4.7379945	10.4592796	6e+06	4	4
"Fe"	"II"	216.671	3.96737644	9.6878034	3.1e+07	8	8
"Fe"	"I"	216.677	0	5.72027099	2.7e+08	9	7
"Fe"	"II"	216.742	2.52186911	8.240429	2200000	12	12
"Fe"	"II"	216.788	3.23045937	8.9478161	3.1e+07	6	4
"Fe"	"II"	216.867	7.5165973	13.2318648	2.1e+07	12	10
"Fe"	"II"	216.884	7.5391368	13.2539571	9e+06	10	8
"Fe"	"II"	216.891	3.24468891	8.9593142	3600000	12	12
"Fe"	"II"	216.918	2.65702556	8.3709578	1700000	12	12
"Fe"	"II"	217.018	2.27642922	7.9877322	1200000	4	6
"Fe"	"II"	217.039	6.21873433	11.9294769	6800000	10	8
"Fe"	"I"	217.13	0.08728574	5.79564049	5100000	5	7
"Fe"	"II"	217.154	7.9877322	13.6954523	1.1e+08	6	4
"Fe"	"II"	217.204	4.79323577	10.4996322	4500000	8	8
"Fe"	"II"	217.212	7.7066254	13.4128045	4200000	10	12
"Fe"	"II"	217.298	2.54377802	8.2477153	6800000	6	6
"Fe"	"II"	217.3	6.22559822	11.9294769	3600000	6	8
"Fe"	"I"	217.321	0.11011433	5.8134352	8300000	3	5
"Fe"	"II"	217.382	3.23045937	8.932201	3200000	6	4
"Fe"	"II"	217.416	7.7025932	13.4034281	7e+06	4	4
"Fe"	"II"	217.485	2.64185518	8.3408923	1.8e+07	4	4
"Fe"	"II"	217.512	7.5391368	13.2374489	9e+06	10	8
"Fe"	"II"	217.545	2.02954815	7.7269984	2e+07	8	8
"Fe"	"II"	217.59	7.5576776	13.2539571	6700000	8	8
"Fe"	"II"	217.65	3.9441623	9.6388708	2.7e+07	6	6
